question,answer
"How long does shipping take?","Standard shipping arrives in 3-5 business days within the continental US. Expedited options are available at checkout."
"What is your refund policy?","Refunds are available within 30 days of delivery. Items must be unused and returned with original packaging."
"How do I reset my password?","Select `Forgot password` on the sign-in page and follow the secure email link we send to your account."
"How can I track my order?","Track orders at account > orders. You will also receive tracking updates via email when the package ships."
"Do you offer international shipping?","Yes, we ship to over 40 countries. Taxes and duties are calculated during checkout."
"How do I contact customer support?","Reach us 24/7 via chat in the mobile app or email support@example.com for a response within one business day."
"Can I cancel my subscription?","Subscriptions can be canceled anytime in account settings. You will retain access until the end of the billing cycle."
"What payment methods are accepted?","We accept major credit cards, PayPal, Apple Pay, and Google Pay for fast checkout."
"Do you have a mobile app?","Yes, download the CustomerApp for iOS or Android to manage orders, rewards, and notifications."
"How do I update my payment method?","Open account settings > billing to add, remove, or set a default payment method."
"What are your business hours?","Our support team is available Monday through Friday, 9 a.m. to 6 p.m. Eastern Time."
"How do I get a refund?","Submit a refund request in account > orders. Approved refunds are issued to the original payment method within 5 business days."
